"","Time","Year","Month","City","City_code","Biowaste","Biowaste_per_ca","Income","Income_thous","Population","Baby","Household_Size","EnvBud","EnvBud_perca","TimeIndicator","TT_NTC","FE_NTC","TE.NTC","MRSP","FE_TPC","FE_TYC","FE_TCC","FE_TNC","FE_KSC","FE_Yilan","FE_KLC","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","Treated_y2008","DATE_2008","DATE_2009","DATE_2010","DATE_2011","DATE_2012","DATE_2013","DATE_2014"
"11",2003-01-01,2003,1,"NewTaipeiCity",1,1080,0.29,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2003-02-01,2003,2,"NewTaipeiCity",1,1126,0.31,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2003-03-01,2003,3,"NewTaipeiCity",1,898,0.24,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2003-04-01,2003,4,"NewTaipeiCity",1,1031,0.28,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2003-05-01,2003,5,"NewTaipeiCity",1,1197,0.33,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2003-06-01,2003,6,"NewTaipeiCity",1,1656,0.45,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2003-07-01,2003,7,"NewTaipeiCity",1,1864,0.51,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2003-08-01,2003,8,"NewTaipeiCity",1,2130,0.58,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2003-09-01,2003,9,"NewTaipeiCity",1,1915,0.52,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2003-10-01,2003,10,"NewTaipeiCity",1,2192,0.6,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",2003-11-01,2003,11,"NewTaipeiCity",1,2373,0.65,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2003-12-01,2003,12,"NewTaipeiCity",1,2346,0.64,1146693,1146.693,3676533,0.0419,3.02,6817997,1.86,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",2004-01-01,2004,1,"NewTaipeiCity",1,2411,0.65,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2004-02-01,2004,2,"NewTaipeiCity",1,2441,0.66,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",2004-03-01,2004,3,"NewTaipeiCity",1,3096,0.83,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",2004-04-01,2004,4,"NewTaipeiCity",1,3003,0.81,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2004-05-01,2004,5,"NewTaipeiCity",1,3289,0.89,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2004-06-01,2004,6,"NewTaipeiCity",1,3274,0.88,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",2004-07-01,2004,7,"NewTaipeiCity",1,2855,0.77,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",2004-08-01,2004,8,"NewTaipeiCity",1,2646,0.71,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2004-09-01,2004,9,"NewTaipeiCity",1,3089,0.83,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",2004-10-01,2004,10,"NewTaipeiCity",1,3016,0.81,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",2004-11-01,2004,11,"NewTaipeiCity",1,3223,0.87,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",2004-12-01,2004,12,"NewTaipeiCity",1,3224,0.87,1166321,1166.321,3708099,0.0383,2.98,5948971,1.61,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",2005-01-01,2005,1,"NewTaipeiCity",1,3682,0.99,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",2005-02-01,2005,2,"NewTaipeiCity",1,4570,1.22,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",2005-03-01,2005,3,"NewTaipeiCity",1,4386,1.17,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,27,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",2005-04-01,2005,4,"NewTaipeiCity",1,5383,1.44,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",2005-05-01,2005,5,"NewTaipeiCity",1,5597,1.5,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",2005-06-01,2005,6,"NewTaipeiCity",1,5598,1.5,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",2005-07-01,2005,7,"NewTaipeiCity",1,5163,1.38,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",2005-08-01,2005,8,"NewTaipeiCity",1,5547,1.48,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",2005-09-01,2005,9,"NewTaipeiCity",1,5438,1.46,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",2005-10-01,2005,10,"NewTaipeiCity",1,5592,1.5,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",2005-11-01,2005,11,"NewTaipeiCity",1,5531,1.48,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",2005-12-01,2005,12,"NewTaipeiCity",1,5374,1.44,1197480,1197.48,3736677,0.0363,2.96,6500567,1.75,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",2006-01-01,2006,1,"NewTaipeiCity",1,6443,1.71,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,37,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294",2006-02-01,2006,2,"NewTaipeiCity",1,6422,1.7,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,38,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"295",2006-03-01,2006,3,"NewTaipeiCity",1,6494,1.72,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,39,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289",2006-04-01,2006,4,"NewTaipeiCity",1,7260,1.93,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",2006-05-01,2006,5,"NewTaipeiCity",1,7438,1.97,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,41,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298",2006-06-01,2006,6,"NewTaipeiCity",1,6946,1.84,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"299",2006-07-01,2006,7,"NewTaipeiCity",1,6507,1.73,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,43,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"297",2006-08-01,2006,8,"NewTaipeiCity",1,7116,1.89,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",2006-09-01,2006,9,"NewTaipeiCity",1,6874,1.82,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,45,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"296",2006-10-01,2006,10,"NewTaipeiCity",1,7039,1.87,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,46,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300",2006-11-01,2006,11,"NewTaipeiCity",1,7112,1.89,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,47,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292",2006-12-01,2006,12,"NewTaipeiCity",1,7114,1.89,1192907,1192.907,3767095,0.0348,2.94,6254360,1.67,48,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"393",2007-01-01,2007,1,"NewTaipeiCity",1,6626,1.74,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,49,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"389",2007-02-01,2007,2,"NewTaipeiCity",1,6306,1.66,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,50,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"386",2007-03-01,2007,3,"NewTaipeiCity",1,7094,1.87,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,51,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"388",2007-04-01,2007,4,"NewTaipeiCity",1,6872,1.81,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,52,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"390",2007-05-01,2007,5,"NewTaipeiCity",1,7376,1.94,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,53,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"385",2007-06-01,2007,6,"NewTaipeiCity",1,6977,1.84,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"387",2007-07-01,2007,7,"NewTaipeiCity",1,7200,1.9,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,55,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"391",2007-08-01,2007,8,"NewTaipeiCity",1,6957,1.83,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,56,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"396",2007-09-01,2007,9,"NewTaipeiCity",1,6685,1.76,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,57,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"394",2007-10-01,2007,10,"NewTaipeiCity",1,6962,1.83,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,58,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"395",2007-11-01,2007,11,"NewTaipeiCity",1,6693,1.76,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"392",2007-12-01,2007,12,"NewTaipeiCity",1,7217,1.9,1161741,1161.741,3798015,0.0341,2.9,6510507,1.72,60,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"492",2008-01-01,2008,1,"NewTaipeiCity",1,6845,1.79,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,61,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485",2008-02-01,2008,2,"NewTaipeiCity",1,7163,1.87,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,62,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"488",2008-03-01,2008,3,"NewTaipeiCity",1,7308,1.91,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,63,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484",2008-04-01,2008,4,"NewTaipeiCity",1,7288,1.9,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,64,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481",2008-05-01,2008,5,"NewTaipeiCity",1,7438,1.94,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,65,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490",2008-06-01,2008,6,"NewTaipeiCity",1,8070,2.1,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,66,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489",2008-07-01,2008,7,"NewTaipeiCity",1,7623,1.99,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,67,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"491",2008-08-01,2008,8,"NewTaipeiCity",1,7132,1.86,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,68,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"487",2008-09-01,2008,9,"NewTaipeiCity",1,7374,1.92,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,69,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"482",2008-10-01,2008,10,"NewTaipeiCity",1,6961,1.82,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,70,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"486",2008-11-01,2008,11,"NewTaipeiCity",1,6831,1.78,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,71,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"483",2008-12-01,2008,12,"NewTaipeiCity",1,7772,2.03,1221746,1221.746,3833730,0.0338,2.86,7594800,1.99,72,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"581",2009-01-01,2009,1,"NewTaipeiCity",1,7935,2.05,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,73,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"578",2009-02-01,2009,2,"NewTaipeiCity",1,8134,2.1,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,74,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"580",2009-03-01,2009,3,"NewTaipeiCity",1,8397,2.17,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,75,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"577",2009-04-01,2009,4,"NewTaipeiCity",1,8527,2.2,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,76,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"587",2009-05-01,2009,5,"NewTaipeiCity",1,8598,2.22,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,77,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"588",2009-06-01,2009,6,"NewTaipeiCity",1,9121,2.35,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,78,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"579",2009-07-01,2009,7,"NewTaipeiCity",1,9982,2.58,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,79,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"582",2009-08-01,2009,8,"NewTaipeiCity",1,8766,2.26,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,80,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"584",2009-09-01,2009,9,"NewTaipeiCity",1,9053,2.34,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,81,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"585",2009-10-01,2009,10,"NewTaipeiCity",1,9420,2.43,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,82,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"586",2009-11-01,2009,11,"NewTaipeiCity",1,9428,2.43,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,83,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"583",2009-12-01,2009,12,"NewTaipeiCity",1,9633,2.49,1177787,1177.787,3873653,0.0339,2.82,7869226,2.04,84,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"676",2010-01-01,2010,1,"NewTaipeiCity",1,9506,2.44,1133488,1133.488,3897367,0.0319,2.77,8324390,2.14,85,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"677",2010-02-01,2010,2,"NewTaipeiCity",1,9682,2.48,1133488,1133.488,3897367,0.0319,2.77,8324390,2.14,86,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"680",2010-03-01,2010,3,"NewTaipeiCity",1,10008,2.57,1133488,1133.488,3897367,0.0319,2.77,8324390,2.14,87,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"673",2010-04-01,2010,4,"NewTaipeiCity",1,9302,2.39,1133488,1133.488,3897367,0.0319,2.77,8324390,2.14,88,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"678",2010-05-01,2010,5,"NewTaipeiCity",1,10307,2.64,1133488,1133.488,3897367,0.0319,2.77,8324390,2.14,89,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"681",2010-06-01,2010,6,"NewTaipeiCity",1,10409,2.67,1133488,1133.488,3897367,0.0319,2.77,8324390,2.14,90,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
